year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2020-03,2020-03,Long-term migrant,Departures,TOTAL,35-39 years,378,26,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,40-44 years,256,21,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,45-49 years,184,17,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,50-54 years,141,16,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,55-59 years,115,15,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,5-9 years,172,17,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,60-64 years,91,16,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,65-69 years,59,14,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,70-74 years,34,13,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,75-79 years,17,9,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,80-84 years,10,6,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,85-89 years,5,5,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,90+ years,2,2,Provisional
2020-03,2020-03,Long-term migrant,Departures,TOTAL,TOTAL,4756,180,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,0-4 years,276,30,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,10-14 years,196,17,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,15-19 years,128,21,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,20-24 years,668,55,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,25-29 years,977,73,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,30-34 years,594,47,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,35-39 years,346,31,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,40-44 years,222,25,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,45-49 years,166,24,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,50-54 years,117,25,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,55-59 years,124,22,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,5-9 years,265,23,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,60-64 years,104,27,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,65-69 years,63,19,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,70-74 years,31,19,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,75-79 years,17,14,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,80-84 years,6,7,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,85-89 years,3,5,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,90+ years,0,2,Provisional
2020-03,2020-03,Long-term migrant,Net,Female,TOTAL,4305,241,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,0-4 years,297,32,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,10-14 years,169,15,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,15-19 years,178,23,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,20-24 years,530,49,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,25-29 years,673,69,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,30-34 years,603,56,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,35-39 years,401,38,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,40-44 years,284,31,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,45-49 years,214,28,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,50-54 years,153,26,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,55-59 years,135,24,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,5-9 years,254,24,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,60-64 years,109,25,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,65-69 years,79,21,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,70-74 years,41,19,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,75-79 years,22,15,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,80-84 years,9,8,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,85-89 years,5,5,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,90+ years,1,2,Provisional
2020-03,2020-03,Long-term migrant,Net,Male,TOTAL,4158,253,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,0-4 years,573,55,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,10-14 years,366,28,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,15-19 years,307,36,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,20-24 years,1198,92,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,25-29 years,1650,124,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,30-34 years,1198,91,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,35-39 years,747,59,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,40-44 years,506,47,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,45-49 years,381,44,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,50-54 years,271,45,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,55-59 years,259,41,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,5-9 years,519,41,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,60-64 years,213,47,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,65-69 years,142,36,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,70-74 years,71,35,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,75-79 years,40,27,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,80-84 years,16,14,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,85-89 years,9,10,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,90+ years,1,3,Provisional
2020-03,2020-03,Long-term migrant,Net,TOTAL,TOTAL,8463,457,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,0-4 years,497,38,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,10-14 years,289,15,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,15-19 years,539,30,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,20-24 years,1258,46,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,25-29 years,1609,58,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,30-34 years,1009,43,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,35-39 years,601,33,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,40-44 years,389,27,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,45-49 years,248,25,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,50-54 years,203,41,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,55-59 years,209,36,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,5-9 years,385,20,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,60-64 years,178,34,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,65-69 years,122,28,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,70-74 years,74,26,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,75-79 years,35,14,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,80-84 years,20,12,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,85-89 years,10,5,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,90+ years,4,2,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Female,TOTAL,7679,257,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,0-4 years,517,35,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,10-14 years,323,19,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,15-19 years,657,31,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,20-24 years,1607,50,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,25-29 years,1522,48,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,30-34 years,1089,43,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,35-39 years,790,41,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,40-44 years,496,33,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,45-49 years,315,29,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,50-54 years,224,47,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,55-59 years,192,36,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,5-9 years,434,22,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,60-64 years,176,35,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,65-69 years,133,30,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,70-74 years,84,29,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,75-79 years,41,17,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,80-84 years,20,12,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,85-89 years,7,4,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,90+ years,2,2,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,Male,TOTAL,8628,264,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,0-4 years,1014,63,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,10-14 years,612,28,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,15-19 years,1196,51,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,20-24 years,2865,81,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,25-29 years,3131,91,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,30-34 years,2098,75,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,35-39 years,1392,66,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,40-44 years,885,53,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,45-49 years,563,47,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,50-54 years,426,83,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,55-59 years,401,67,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,5-9 years,819,36,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,60-64 years,354,65,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,65-69 years,255,54,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,70-74 years,158,53,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,75-79 years,76,29,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,80-84 years,40,22,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,85-89 years,17,7,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,90+ years,6,3,Provisional
2020-02,2020-02,Long-term migrant,Arrivals,TOTAL,TOTAL,16307,469,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,0-4 years,182,24,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,10-14 years,66,10,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,15-19 years,122,14,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,20-24 years,374,27,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,25-29 years,605,36,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,30-34 years,370,33,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,35-39 years,177,19,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,40-44 years,111,16,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,45-49 years,104,18,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,50-54 years,87,21,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,55-59 years,86,28,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,5-9 years,97,11,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,60-64 years,57,19,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,65-69 years,41,13,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,70-74 years,27,13,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,75-79 years,13,9,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,80-84 years,7,5,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,85-89 years,4,3,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,90+ years,1,1,Provisional
2020-02,2020-02,Long-term migrant,Departures,Female,TOTAL,2530,147,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,0-4 years,189,22,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,10-14 years,73,10,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,15-19 years,121,14,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,20-24 years,395,28,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,25-29 years,747,44,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,30-34 years,483,39,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,35-39 years,238,23,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,40-44 years,156,19,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,45-49 years,120,18,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,50-54 years,95,24,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,55-59 years,86,32,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,5-9 years,106,13,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,60-64 years,59,19,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,65-69 years,39,13,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,70-74 years,27,13,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,75-79 years,13,10,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,80-84 years,6,5,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,85-89 years,2,2,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,90+ years,1,1,Provisional
2020-02,2020-02,Long-term migrant,Departures,Male,TOTAL,2957,174,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,0-4 years,371,39,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,10-14 years,140,16,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,15-19 years,243,24,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,20-24 years,769,45,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,25-29 years,1352,70,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,30-34 years,852,64,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,35-39 years,416,37,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,40-44 years,267,30,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,45-49 years,224,32,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,50-54 years,182,42,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,55-59 years,172,57,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,5-9 years,203,20,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,60-64 years,116,36,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,65-69 years,81,24,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,70-74 years,54,25,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,75-79 years,26,18,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,80-84 years,12,9,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,85-89 years,6,4,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,90+ years,2,2,Provisional
2020-02,2020-02,Long-term migrant,Departures,TOTAL,TOTAL,5487,299,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,0-4 years,315,39,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,10-14 years,222,17,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,15-19 years,417,31,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,20-24 years,884,51,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,25-29 years,1004,67,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,30-34 years,640,52,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,35-39 years,424,36,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,40-44 years,278,29,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,45-49 years,144,29,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,50-54 years,116,41,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,55-59 years,123,41,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,5-9 years,288,22,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,60-64 years,121,37,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,65-69 years,81,28,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,70-74 years,47,26,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,75-79 years,22,16,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,80-84 years,13,11,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,85-89 years,6,4,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,90+ years,3,2,Provisional
2020-02,2020-02,Long-term migrant,Net,Female,TOTAL,5148,289,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,0-4 years,328,36,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,10-14 years,250,20,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,15-19 years,536,32,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,20-24 years,1212,53,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,25-29 years,775,59,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,30-34 years,606,54,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,35-39 years,552,44,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,40-44 years,340,36,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,45-49 years,195,33,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,50-54 years,129,47,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,55-59 years,106,44,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,5-9 years,328,23,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,60-64 years,116,37,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,65-69 years,93,30,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,70-74 years,57,29,Provisional
2020-02,2020-02,Long-term migrant,Net,Male,75-79 years,28,19,Provisional
